open_price_xbt,open_price_eth
2440.003,339.89997
2484.002,343.50022
2494.4,348.41033
2477.238,342.00007
2422.2,329.33387
2341.351,317.32864
2373.177,329.8726
2425.179,334.99927
2451.0,339.99999
2394.468,324.0
2334.0,312.0002
2274.786,298.0
2277.171,302.85362
2092.416,272.13398
2255.029,300.1
2219.651,298.0
2310.045,316.01002
2234.288,298.33302
2266.981,306.99949
2335.698,319.40894
2364.263,329.8
2399.42,333.92542
2416.001,341.7185
2428.72,345.0001
2368.398,331.83851
2335.382,322.0
2358.628,324.80794
2373.882,332.01114
2407.93,337.59999
2427.822,339.00021
2463.3,348.74999
2447.624,341.99999
2470.0,349.69777
2511.5,353.887
2501.654,358.29846
2454.262,350.48986
2420.995,343.99997
2430.874,350.0
2459.199,353.28987
2450.527,354.00163
2500.005,358.65831
2484.882,356.45
2473.077,354.0001
2504.0,358.17999
2486.47,353.39998
2474.614,351.00056
2444.412,349.33308
2470.316,353.5
2455.64,348.78868
2431.777,344.40001
2433.77,345.39999
2478.718,349.95987
2487.899,351.00001
2484.77,353.70956
2492.859,353.87201
2503.371,353.5
2512.0,352.96
2542.1,354.0
2561.26,357.98
2584.0,358.8
2548.096,357.65998
2548.64,357.46978
2562.993,357.63312
2604.75,358.0
2600.939,360.99989
2630.001,365.0
2657.002,367.75999
2651.357,366.50001
2640.916,366.37399
2652.848,365.514
2671.41,368.24999
2646.838,368.9526
2622.483,369.0899
2645.021,370.99989
2650.821,373.08353
2661.045,374.92942
2643.64,375.99996
2641.0,379.35009
2610.0,375.00011
2542.6,358.99999
2578.424,368.0
2573.44,365.52312
2593.216,368.97986
2584.605,369.97979
2590.585,371.0
2556.998,362.9999
2557.079,358.10004
2577.083,362.99963
2566.652,361.97503
2565.0,360.50589
2535.07,355.79965
2506.509,351.20998
2471.0,341.5
2486.094,347.75
2494.385,348.49999
2500.724,349.5
2518.48,354.0
2505.064,349.63378
2555.179,356.30601
2555.335,359.36998
2562.865,360.12999
2565.152,360.49
2577.871,357.78889
2552.237,357.49998
2555.091,356.14999
2520.0,351.99986
2523.259,353.79958
2517.323,349.68
2526.54,352.98946
2561.76,356.42802
2561.981,355.4058
2539.912,354.99611
2569.998,355.944
2582.21,357.46926
2582.0,358.66419
2563.5,354.51005
2572.025,355.79979
2563.24,354.44626
2568.0,354.141
2584.859,356.47979
2610.109,356.99987
2620.929,358.905
2608.062,361.09626
2600.0,364.75
2609.975,364.98005
2599.581,363.37502
2614.9,363.87991
2619.538,361.30011
2600.15,363.98
2590.0,360.40012
2585.973,360.38999
2607.041,361.49989
2622.455,363.01099
2644.069,364.3169
2653.494,364.7
2652.126,365.56041
2655.882,361.13941
2686.9,354.12
2739.162,340.00002
2741.0,343.05344
2733.993,339.0001
2732.386,345.8
2732.261,347.59651
2705.1,348.49998
2712.75,352.0
2699.999,350.00012
2717.899,344.50001
2742.239,343.811
2760.009,342.05151
2712.689,336.57075
2690.02,336.99999
2716.999,334.01286
2730.994,334.00004
2700.29,329.00001
2704.104,329.99999
2714.999,330.99989
2723.46,336.76298
2704.004,333.25002
2683.8,320.0
2683.588,319.98891
2697.879,318.00076
2679.05,303.00024
2684.997,319.0
2656.971,302.00001
2653.001,291.99997
2587.999,298.89999
2618.39,308.74998
2644.969,324.47996
2642.153,327.2
2634.621,323.00228
2642.099,324.5
2635.0,317.00001
2589.0,312.99986
2631.889,316.85622
2631.838,318.20921
2644.973,312.82611
2630.991,315.98372
2662.832,320.82552
2676.846,323.5
2669.61,326.45185
2665.978,321.11432
2695.442,326.49995
2695.931,325.10062
2717.727,327.39201
2713.371,328.29972
2701.0,326.88392
2717.008,321.75678
2695.911,319.39884
2680.01,314.24446
2695.515,317.28001
2692.979,319.76999
2684.98,321.60076
2702.015,322.98936
2712.656,322.0003
2712.232,322.5113
2714.998,324.9998
2706.432,326.97996
2706.0,325.99979
2707.838,327.29975
2707.075,328.89951
2675.575,329.952
2673.999,328.99
2690.007,330.0
2689.639,329.0001
2694.742,327.52397
2701.107,329.59
2713.763,328.49997
2713.514,326.15
2711.51,324.00041
2712.421,322.34834
2700.432,322.98999
2708.841,324.0
2702.066,323.99999
2699.852,325.94994
2696.364,326.26
2668.0,325.49636
2694.952,327.43945
2684.48,327.571
2691.659,325.89999
2682.524,327.61804
2685.64,326.99991
2697.842,324.93748
2691.0,326.8
2691.777,326.0123
2690.438,326.00514
2682.016,325.37763
2693.007,324.44651
2695.094,324.01672
2692.325,322.581
2615.015,311.0
2594.999,310.0
2636.282,316.40001
2610.98,313.0011
2609.818,314.61999
2557.193,307.02495
2520.969,300.5
2569.439,310.50001
2584.877,308.51002
2540.001,302.9
2555.092,302.98289
2524.675,295.5
2525.01,296.99979
2535.768,301.97114
2529.213,301.74967
2558.08,305.5
2559.044,307.4
2570.248,307.0
2549.0,301.00001
2566.407,302.0
2579.675,305.99991
2564.923,303.79352
2593.025,297.04799
2589.004,302.0012
2594.544,299.9996
2562.0,293.97989
2530.76,291.8
2547.854,294.8
2564.593,289.1
2489.999,280.48549
2469.294,268.89999
2471.001,270.00001
2445.0,253.92531
2463.86,268.79999
2490.126,276.81012
2493.888,278.99999
2506.183,286.14895
2515.2,280.99899
2522.251,282.99716
2486.977,274.52032
2481.998,266.42156
2444.708,261.00001
2472.994,260.79923
2426.368,250.16001
2500.001,262.99989
2485.742,259.61968
2467.99,262.19
2483.039,263.9999
2459.532,264.65197
2438.116,254.043
2390.0,235.0
2384.507,236.62133
2341.5,233.244
2256.0,214.00001
2232.0,213.0
2291.768,228.00001
2370.153,243.00001
2376.515,244.0
2404.374,253.78769
2390.292,247.99989
2433.42,249.28037
2449.998,253.50004
2446.439,255.78957
2424.47,251.50014
2436.86,250.00004
2400.986,239.00001
2358.001,231.01514
2359.284,236.6
2370.0,238.95
2382.0,233.0
2355.395,234.16006
2370.692,229.47457
2320.003,219.09999
2304.112,216.25759
2305.0,227.99999
2290.001,224.10001
2338.451,230.21098
2369.997,237.5
2406.63,252.9999
2464.906,266.99989
2436.585,260.43401
2500.998,277.24489
2538.01,282.40001
2500.001,269.9999
2468.995,260.95
2473.621,262.50001
2517.998,277.5
2483.57,271.0
2486.52,269.37001
2487.996,273.4086
2517.824,279.99997
